sample_id,phenotype,final_label,disease,tissue,subtype,confidence,matched_column,matched_keyword,annotation_status
GSM653015,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653016,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653017,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653018,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653019,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653020,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653021,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653022,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653023,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653024,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653025,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653026,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653027,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653028,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653029,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653030,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653031,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653032,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653033,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653034,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653035,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653036,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653037,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653038,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653039,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653040,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653041,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653042,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653043,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653044,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653045,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653046,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653047,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653048,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653049,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653050,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653051,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653052,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653053,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653054,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653055,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653056,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653057,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653058,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653059,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653060,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653061,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653062,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653063,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653064,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653065,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653066,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653067,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653068,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653069,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653070,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653071,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653072,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653073,Normal,0,Unknown,Liver,,0.95,title,surrounding liver,Resolved
GSM653074,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653075,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653076,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653077,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653078,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653079,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653080,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653081,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653082,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653083,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653084,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653085,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653086,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653087,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653088,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653089,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653090,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653091,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653092,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653093,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653094,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653095,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653096,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653097,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653098,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653099,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653100,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653101,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653102,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653103,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653104,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653105,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653106,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653107,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653108,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653109,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653110,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653111,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653112,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653113,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653114,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653115,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653116,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653117,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653118,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653119,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653120,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653121,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653122,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653123,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653124,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653125,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653126,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653127,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653128,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653129,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653130,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653131,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653132,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653133,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653134,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653135,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653136,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653137,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653138,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
GSM653139,Tumor,1,Cholangiocarcinoma,Tumor Tissue,,0.95,title,tumor,Resolved
